name,proj_id,et_id,hbw_id,ebd_id,ebd_sub,ebd_mix,bbs_id,aou_id,aou_mix,hwi,order,family,eng_name,synonyms,mlife,mis_mlife,adsurviv,mis_adsurviv,matage,parasi,egglow,eggupp,nsuc,hatc,fled,ypp,suces,mis_suces,attem,dev,bmass,naggr,brsys,mis_breed,bpstart,bpstop,ndepen,nest,nsbank,nsgroun,nsgrass,nsclif,nsbuild,nsshru,nsdeci,nsconi,nssnag,nscact,nstang,nsfloat,fsmud,fswatb,fswata,fstimb,fsgroun,fsunder,fsmidhigh,fscanopy,fsaerial,fsdump,fpnoct,fpdiur,klepto,fc_categ,fcinvert,fcvend,fcvect,fcfish,fcunk,fcscav,fcfruit,fcnect,fcseed,fcgree,fcleft,fmdig,fmgrgl,fmfogl,fmbagl,fmhogl,fmhopo,fmhawk,fmaero,fmapur,fmswoo,fmhipa,fmlopa,fmhidi,fmskim,fmsdiv,fmsdip,fmdabb,fmstal,fmprob,pelagic,code,ebd_id2022,ebd_id2023
Dendrocygna autumnalis,10,567,432,220,221:222,224;227,6,1770,NA,32.68,Anseriformes,Anatidae,Black-bellied Whistling-duck,NA,8,0,0.51,0,1,0,12,14,0.35,0.41,NA,7.8,0.14,0,1.25,pre2,755.3,3,monog,0,25-Apr,5-Sep,0,cavity,0,40,0,0,0,0,30,0,30,0,0,0,0,0,50,0,50,0,0,0,0,0,1,1,0,PlantSeed,10,0,0,0,0,0,0,0,0,90,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,bbwduc,230,233
Dendrocygna bicolor,20,560,435,225,NA,226;227;233,7,1780,NA,29.73,Anseriformes,Anatidae,Fulvous Whistling-duck,NA,6.5,0,0.5,1,1,0,12,13,0.53,0.83,NA,NA,0.44,0,1,pre2,756.37,2,monog,0,15-Apr,30-Aug,0,cup,0,60,0,0,0,0,0,0,0,0,0,40,0,20,80,0,0,0,0,0,0,0,0,1,0,PlantSeed,0,0,0,0,0,0,20,0,20,60,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,fuwduc,235,238
Chen canagica,30,611,472,239,NA,291,8,1760,NA,49.42,Anseriformes,Anatidae,Emperor Goose,Anser canagicus,13,0,0.6,0,3.5,0.75,4,7,NA,0.92,0.5,NA,0.46,0,1,pre2,1926,2,monog,0,15-May,30-Aug,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,0,0,20,0,80,0,0,0,0,0,0,1,0,PlantSeed,10,0,0,0,0,0,20,0,0,70,0,5,55,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,empgoo,251,255
Chen caerulescens,40,609,473,240,241:242,244;245;261;281;292;315;319,9,1690,1691,52.49,Anseriformes,Anatidae,Snow Goose,Anser caerulescens,26,0,0.83,0,3.2,0,3,5,0.64,0.94,NA,2.8,0.49,0,1,pre2,2636.15,3,monog,0,25-May,30-Jul,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,0,0,20,0,80,0,0,0,0,0,0,1,0,PlantSeed,5,0,0,0,0,0,10,0,10,75,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,70,15,0,0,0,snogoo,252,256
Chen rossii,50,610,474,243,NA,244;245;293,11,1700,NA,54.41,Anseriformes,Anatidae,Ross's Goose,Anser rossii,22,0,0.66,0,2.7,0,3,5,0.78,NA,0.73,3.9,0.41,0,1,pre2,1635.99,3,monog,0,1-Jun,15-Aug,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,0,0,20,0,80,0,0,0,0,0,0,1,0,PlantSeed,5,0,0,0,0,0,0,0,5,90,0,5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,45,10,0,0,0,rosgoo,256,260
Anser albifrons,60,603,480,253,254:259,260;261;263;295,13,1710,NA,52.57,Anseriformes,Anatidae,Greater White-fronted Goose,NA,22,0,0.68,0,3,0,5,6,0.69,0.6,NA,NA,0.41,0,1,pre2,2506.39,2,monog,0,1-May,15-Sep,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,0,0,20,0,80,0,0,0,0,0,0,1,0,PlantSeed,5,0,0,0,0,0,10,0,15,70,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,70,20,0,0,0,gwfgoo,267,271
Branta bernicla,70,616,463,275,276:280,281;294,18,1730,1740,52.2,Anseriformes,Anatidae,Brent Goose,NA,21,0,0.79,0,2.3,0,3,5,0.45,0.7,NA,NA,0.24,0,1,pre2,1277.91,3,monog,0,15-May,20-Jul,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,0,0,40,0,60,0,0,0,0,0,0,1,0,PlantSeed,5,0,0,0,0,0,0,0,0,95,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,70,15,0,0,0,brant,291,296
Branta canadensis,80,613,467,297,298:307,308;309;310;311;312;313;314;315;316;317;318;319,22,1720,NA,49.37,Anseriformes,Anatidae,Canada Goose,NA,28,0,0.46,0,3,0,4,7,0.76,0.75,NA,2.1,0.39,0,1,pre2,2811.68,2,monog,0,15-Apr,15-Aug,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,0,0,40,0,60,0,0,0,0,0,0,1,0,PlantSeed,0,0,0,0,0,0,10,0,0,90,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,45,10,0,0,0,cangoo,319,324
Branta hutchinsii,85,19813,466,286,287:290,291;292;293;294;295;296,21,1725,NA,44.577,Anseriformes,Anatidae,Cackling Goose,NA,28,1,0.46,1,3,0,4,7,0.52,NA,NA,NA,0.27,0,1,pre2,2811.68,2,monog,0,10-Apr,10-Aug,0,scrape,0,80,20,0,0,0,0,0,0,0,0,0,0,0,40,0,60,0,0,0,0,0,0,1,0,PlantSeed,0,0,0,0,0,0,10,0,0,90,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,cacgoo1,308,313
Cygnus olor,90,586,458,330,NA,NA,23,1782,NA,41.92,Anseriformes,Anatidae,Mute Swan,NA,16,0,0.87,0,3,0,4,8,0.72,0.58,0.5,NA,0.42,0,1.1,pre2,10682.04,1,monog,0,5-Mar,5-Aug,0,platform,0,100,0,0,0,0,0,0,0,0,0,0,0,40,50,0,10,0,0,0,0,0,0,1,0,PlantSeed,10,0,10,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,0,0,0,mutswa,353,358
Cygnus buccinator,100,590,459,333,NA,334;339;340,24,1810,NA,42.69,Anseriformes,Anatidae,Trumpeter Swan,NA,25,0,0.76,0,5.5,0,4,6,NA,NA,NA,1.7,0.26,0,0.8,pre2,11071.13,1,monog,0,25-Apr,30-Sep,0,platform,0,100,0,0,0,0,0,0,0,0,0,0,0,50,45,0,5,0,0,0,0,0,0,1,0,PlantSeed,10,0,0,0,0,0,0,0,20,70,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,45,0,0,0,truswa,358,363
Cygnus columbianus,110,591,461,335,336:338,339;340;343,25,1800,NA,45.29,Anseriformes,Anatidae,Tundra Swan,NA,21,0,0.85,0,6,0,3,5,0.84,NA,NA,2.15,0.54,0,1,pre2,6377.96,1,monog,0,1-May,15-Sep,0,platform,0,100,0,0,0,0,0,0,0,0,0,0,0,20,50,0,30,0,0,0,0,0,0,1,0,PlantSeed,15,0,0,0,0,0,0,0,0,85,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,0,0,0,tunswa,360,365
Alopochen aegyptiaca,115,637,516,365,NA,NA,27,20630,NA,38.001,Anseriformes,Anatidae,Egyptian Goose,NA,20,0,0.59,1,2,0,6,10,NA,NA,NA,3.8,0.23,1,0.5,pre2,1873,2,monog,0,1-Jan,30-Dec,0,platform,0,60,0,0,0,20,10,10,0,0,0,0,0,0,30,0,70,0,0,0,0,0,0,1,0,PlantSeed,10,0,0,0,0,0,0,0,0,90,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,egygoo,391,397
Cairina moschata,116,657,526,388,389:390,NA,28,10210,NA,35.174,Anseriformes,Anatidae,Muscovy Duck,NA,18,1,0.59,1,1,0,8,15,NA,NA,NA,NA,0.5,1,1,pre2,2415.78,1,monog,0,15-Apr,15-Jul,0,cavity,10,0,0,0,0,10,30,30,20,0,0,0,0,0,50,0,50,0,0,0,0,0,0,1,0,Omnivore,30,0,10,10,0,0,0,0,20,30,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,20,20,10,0,0,0,musduc,415,423
Aix sponsa,120,659,534,397,NA,398;400,29,1440,NA,49.4,Anseriformes,Anatidae,Wood Duck,NA,15,0,0.59,0,1,0,10,15,0.75,0.63,NA,12.2,0.47,0,2,pre2,657.59,2,monog,0,20-Apr,10-Aug,1,cavity,0,5,0,0,0,0,50,0,45,0,0,0,0,0,80,0,20,0,0,0,0,0,0,1,0,PlantSeed,20,0,0,0,0,0,0,0,50,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,90,0,0,0,wooduc,423,433
Anas discors,130,690,577,422,NA,429;430;436;534,32,1400,NA,43.84,Anseriformes,Anatidae,Blue-winged Teal,Spatula discors,17,0,0.56,0,1,0,8,11,0.36,0.83,NA,NA,0.3,0,1,pre2,359.44,2,monog,0,5-May,5-Sep,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,PlantSeed,10,0,0,0,0,0,0,0,50,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,0,0,0,buwtea,450,460
Anas cyanoptera,140,691,576,423,424:428,429;430;437,33,1410,NA,51.06,Anseriformes,Anatidae,Cinnamon Teal,Spatula cyanoptera,17.4,0,0.57,0,1,0,7,12,0.2,0.83,NA,NA,0.17,0,1,pre2,377.45,2,monog,0,20-Apr,20-Aug,0,scrape,0,100,0,0,0,0,0,0,0,0,0,0,20,0,80,0,0,0,0,0,0,0,0,1,0,PlantSeed,20,0,0,0,0,0,0,0,30,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,0,0,0,cintea,451,461
